username,comment,date,like_count
@purebloodcrusader,"""Go woke go broke""- DJT 😂😂",2023-06-25T05:04:23Z,2
@CelticVictory,"It sounds nothing like Obama. It sounds like a bad SNL impression. However, Killmonger was right.",2023-06-24T10:41:17Z,1
@davidarundel6187,"Deep fakes or not , do not trust anything that comes via the idiot box .",2023-06-22T18:23:04Z,0
@luisocampo9728,AI made,2023-06-22T17:43:24Z,0
@DT__1,This is AI generated Obama u fools…,2023-06-13T15:59:39Z,1
@yousefalabdullah1271,Obama with a nasal congestion.,2023-06-12T10:21:35Z,2
@guitarguts666,😂😂😂,2023-06-09T15:52:36Z,0
@divyabharathi2658,"Just deepfakes.. This is the best example to never trust anything u see, u hear.. Just investigate it, if something bothers u much... ✌",2023-06-08T05:48:29Z,1
@jaco7675,Not near enough stammering.,2023-06-05T03:01:03Z,1
@andiekarin1631,But what trust and trsust 🤌🏼🤌🏼🤌🏼 It looks like He has a potato in his mouth,2023-06-03T13:55:36Z,0
@fernandofeik,Which Killmonger is Obama referring to in this video?,2023-06-03T04:03:36Z,0
@user-qb4zs2xu1y,That's a hell of a good impression that's funny,2023-06-01T22:04:20Z,1
@idris_elba_double,Can someone name a video like this about Ron Desantis,2023-06-01T14:56:46Z,1
@chadwaterfield6432,This is deep fake,2023-05-29T22:00:39Z,0
@cipher3966,"""We need to rely on trusted news sources"" I think the problem here is that everyone trusts what they agree with. How do we make people question what they already believe is correct?",2023-05-27T04:27:31Z,0
@seriousdoubt,You are the king of lies,2023-05-21T12:40:44Z,0
@jason256-8,Blame all of this on the AI voice generators.,2023-05-20T14:24:28Z,0
@pansexualpancake3438,0:23 literally my opinion 😂😂,2023-05-16T12:13:40Z,0
@MelloGee33,This world's in trouble.,2023-05-10T06:09:55Z,0
@CooleLimo69420,"""Never trust anything you see on the internet."" 
-Mom",2023-05-07T12:08:14Z,1
@justinfuriated,looks hella fake.,2023-05-05T15:05:31Z,0
@CatT1987,I knew it wasn't Obama because his voice didn't sound quite right. If I hadn't known this was a deep fake video I would have just thought maybe he had a cold or something was off about his voice.,2023-05-02T10:50:56Z,0
